t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1421319372,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319377,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319382,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319387,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319392,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319397,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319402,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319407,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319412,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319417,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319422,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319427,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319432,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319437,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319442,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319447,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319452,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319457,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319462,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319467,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319472,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319477,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319482,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319487,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319492,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319497,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319502,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319507,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319512,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319517,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319522,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319527,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319532,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319537,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319542,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319547,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319552,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319557,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319562,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319567,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319572,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319577,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319582,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319587,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319592,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319597,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319602,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319607,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319612,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319617,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319622,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319627,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319632,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319637,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319642,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319647,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319652,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319657,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319662,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1421319667,265,1,0.992453,0,0.086710,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
